Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,Game_ID,Lineup_ID,OffReb,Player_Name,Pts,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm
0,0,1,2,1,1,0,0,0,0,9,1,1,Jake Digiorgio,2,0,Illinois Tech Scarlet Hawks,1,0,1,2,1,1,1,0
0,0,1,1,1,0,0,0,0,0,9,1,0,Parker Joncus,3,0,Illinois Tech Scarlet Hawks,1,1,0,1,1,0,0,0
0,1,1,2,1,1,0,0,0,0,9,1,0,Anthony Mosley,2,0,Illinois Tech Scarlet Hawks,0,0,0,1,1,2,1,1
1,0,2,0,0,0,0,0,0,0,9,1,0,Max Hisatake,0,0,Illinois Tech Scarlet Hawks,0,0,0,2,0,0,0,0
1,0,0,2,1,1,0,0,0,0,9,1,0,Ahmad Muhammad,2,0,Illinois Tech Scarlet Hawks,1,0,1,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,9,2,0,Anthony Mosley,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,2,0,Capriest Gardner,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,9,2,0,Milos Dugalic,0,0,Illinois Tech Scarlet Hawks,0,0,0,1,0,0,0,0
1,0,0,1,0,1,0,0,0,1,9,2,0,Ricardo Whitehead,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,1,1,0,1
0,0,1,3,2,1,0,0,0,0,9,2,0,Otis Reale,5,0,Illinois Tech Scarlet Hawks,1,1,0,1,0,2,1,1
0,0,0,0,0,0,0,0,0,0,9,3,0,Milos Dugalic,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,1,1,0,1,0,0,0,0,9,3,0,Otis Reale,0,0,Illinois Tech Scarlet Hawks,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,9,3,0,Jake Bruns,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,3,0,Calvin Schmitz,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,9,3,1,Max Hisatake,2,0,Illinois Tech Scarlet Hawks,0,0,0,2,1,1,1,0
0,0,0,0,0,0,0,0,0,0,9,4,0,Milos Dugalic,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,9,4,0,Jake Bruns,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,4,0,Calvin Schmitz,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,9,4,0,Max Hisatake,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,9,4,0,Anthony Mosley,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,9,5,0,Jake Bruns,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,5,0,Calvin Schmitz,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,5,0,Max Hisatake,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,5,0,Anthony Mosley,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,5,0,Jake Digiorgio,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,6,1,Calvin Schmitz,0,0,Illinois Tech Scarlet Hawks,0,0,0,1,0,0,0,0
0,0,1,1,0,1,0,0,0,0,9,6,0,Max Hisatake,0,0,Illinois Tech Scarlet Hawks,0,0,0,1,2,1,0,1
0,0,0,1,0,1,0,0,0,0,9,6,0,Anthony Mosley,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,1,9,6,0,Jake Digiorgio,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,1,0,0,0
0,0,0,2,1,1,0,0,0,2,9,6,1,Ahmad Muhammad,2,0,Illinois Tech Scarlet Hawks,0,0,0,1,0,2,1,1
0,0,0,0,0,0,0,0,0,0,9,7,0,Max Hisatake,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,1,0,2,2,0,1,0,1,0,9,7,0,Anthony Mosley,4,1,Illinois Tech Scarlet Hawks,0,0,0,0,0,2,2,0
0,0,1,1,0,1,0,0,0,0,9,7,0,Jake Digiorgio,0,0,Illinois Tech Scarlet Hawks,0,0,0,1,1,1,0,1
1,0,0,0,0,0,2,2,0,0,9,7,0,Parker Joncus,2,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,9,7,0,Otis Reale,2,1,Illinois Tech Scarlet Hawks,0,0,0,0,0,1,1,0
0,0,1,0,0,0,0,0,0,0,9,8,1,Jake Digiorgio,0,0,Illinois Tech Scarlet Hawks,0,0,0,2,1,0,0,0
1,0,0,0,0,0,0,0,0,0,9,8,0,Parker Joncus,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,1,2,1,0,1,0,0,0,0,9,8,0,Anthony Mosley,0,0,Illinois Tech Scarlet Hawks,1,0,1,2,1,0,0,0
