Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,Game_ID,Lineup_ID,OffReb,Player_Name,Pts,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm
2,0,1,1,0,1,0,0,0,1,17,1,0,Demetrius Pointer,0,0,Aurora University,0,0,0,1,0,1,0,1
0,0,1,1,1,0,0,0,0,0,17,1,0,Max Vickers,3,0,Aurora University,1,1,0,1,0,0,0,0
0,0,0,2,0,2,2,2,0,2,17,1,1,Brandon James,2,1,Aurora University,0,0,0,1,0,2,0,2
1,0,0,4,2,2,0,0,0,1,17,1,1,Marquis Howard,6,0,Aurora University,3,2,1,1,0,1,0,1
0,0,0,1,0,1,0,0,0,0,17,1,0,Ty Carlson,0,0,Aurora University,1,0,1,0,0,0,0,0
0,0,0,3,0,3,0,0,0,1,17,2,0,Max Vickers,0,0,Aurora University,2,0,2,0,0,1,0,1
0,0,1,2,0,2,0,0,0,1,17,2,0,Ty Carlson,0,0,Aurora University,1,0,1,1,0,1,0,1
0,0,0,1,0,1,2,2,0,0,17,2,0,Terrell Wilson,2,1,Aurora University,0,0,0,0,0,1,0,1
0,0,1,0,0,0,0,0,0,0,17,2,1,Bailey Vance,0,0,Aurora University,0,0,0,2,0,0,0,0
0,0,0,1,1,0,0,0,0,0,17,2,0,Jesse Young,2,0,Aurora University,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,1,17,3,0,Terrell Wilson,0,0,Aurora University,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,17,3,0,Bailey Vance,0,0,Aurora University,0,0,0,0,0,1,0,1
0,0,0,1,0,1,0,0,0,0,17,3,0,Jesse Young,0,0,Aurora University,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,17,3,0,Jarek Hotwagner,0,0,Aurora University,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,17,3,0,Garrett Hoffman,0,0,Aurora University,0,0,0,0,0,0,0,0
0,1,0,1,0,1,2,2,0,0,17,4,0,Bailey Vance,2,0,Aurora University,0,0,0,0,0,1,0,1
1,0,0,1,0,1,0,0,0,0,17,4,0,Jesse Young,0,0,Aurora University,0,0,0,0,0,1,0,1
0,0,1,2,1,1,0,0,0,0,17,4,0,Jarek Hotwagner,2,0,Aurora University,0,0,0,1,0,2,1,1
0,0,0,0,0,0,0,0,0,0,17,4,0,Garrett Hoffman,0,1,Aurora University,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,1,17,4,0,Deante Walker,0,0,Aurora University,0,0,0,0,0,1,0,1
0,0,1,2,1,1,0,0,0,1,17,5,0,Bailey Vance,2,0,Aurora University,1,0,1,1,0,1,1,0
0,0,0,1,0,1,0,0,0,1,17,5,0,Garrett Hoffman,0,0,Aurora University,1,0,1,0,0,0,0,0
